mse,min_mse,max_mse
6.7415648541056315e-06,7.719490130424071e-12,0.0003013985448196435
3.650790496132417e-05,8.648468676558288e-13,0.0017842571300756
1.4143341354517432e-08,5.1662913194504716e-14,1.131049046200809e-06
2.175474976602947e-05,6.889482387915404e-13,0.002880607262185945
1.3226793272362064e-07,1.8215164234571536e-13,2.125450855288472e-06
1.470251524233339e-07,6.37603677568657e-14,6.275424899090035e-06
1.4143341354517392e-08,5.166291319749713e-14,1.13104904620083e-06
1.103110996672478e-05,4.1842005649279694e-11,0.003110866154264627
1.2841663403629265e-37,3.6195091069858364e-49,8.565453394425107e-36
1.2729437807163997e-37,7.177872775067255e-45,9.277760423605075e-36
